,Webpage,Message,Author,Likes,Dislikes,NumReports,Polarity,Subjectivity,Positive,Negative,Neutral,Compound
49,Batman-2016/Issue-1,"I just realized the bottom panel on page 13, a store is called ""Tom's Surveillance"" You clever sonofabitch, you.",larry_king_real,0,0,0,0.167,0.833,0.158,0.0,0.842,0.459
50,Batman-2016/Issue-2,"""it's not impossible kid, it's Batman"" hell yeah!!Ã°ÂÂÂ",nafissah_abuelhawa,89,1,0,0.333,1.0,0.0,0.425,0.575,-0.734
51,Batman-2016/Issue-2,"If Batman doesn't want you to see him, you won't see him. Period.",sonics1030,15,0,0,0.0,0.0,0.0,0.092,0.908,-0.057
52,Batman-2016/Issue-2,"super cafe, because I'm batman, watch it and then reread this....",zackgeoffreydipper,18,1,0,0.333,0.667,0.281,0.0,0.719,0.599
53,Batman-2016/Issue-2,OMG Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ I'm batmanÃ°ÂÂÂÃ¢ÂÂÃ°ÂÂÂ»,nafissah_abuelhawa,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0
54,Batman-2016/Issue-2,"""I don't even trust Alfred"" that one killed me.",disqus_pYCCzaTTAz,54,1,0,-0.2,0.0,0.0,0.507,0.493,-0.802
55,Batman-2016/Issue-2,Bruce can really hold a grudge XD,knight_ldr,15,1,0,0.2,0.2,0.49,0.0,0.51,0.7
56,Batman-2016/Issue-2,well alfred is everything to batman,yousefzidane,7,0,0,0.0,0.0,0.296,0.0,0.704,0.273
57,Batman-2016/Issue-2,he's treating them better than i thought.  i was expecting to just be cold and shoo them away.,AbsoluteCalfMuscles,15,0,0,-0.05,0.75,0.162,0.0,0.838,0.44
58,Batman-2016/Issue-2,Yeah. Little disappointing. He's not so generous with Superman. ,Anette_Halbestunde,3,0,0,-0.394,0.6,0.152,0.435,0.414,-0.626
59,Batman-2016/Issue-2,"to be honest he needs a hand from time to time. some treats are above him and his family. Glad he did not do the batman thing, but rather the sempai way",axeledongo,3,0,0,0.367,0.667,0.182,0.0,0.818,0.643
60,Batman-2016/Issue-2,He's probably being a bit less cold since the plane incident reminded him of his mortality.,disqus_PBWuHp73wM,0,0,0,-0.383,0.533,0.0,0.0,1.0,0.0
61,Batman-2016/Issue-2,"""Im in shock,sir"" Ã°ÂÂÂ",time2678,15,0,0,0.0,0.0,0.0,0.0,1.0,0.0
62,Batman-2016/Issue-2,"When was last time we saw Hugo Strange in a comic, plus I hate when Amanda Waller gets involved in something, it never goes well",disqus_XRo3NaL4ZB,8,0,0,-0.15,0.404,0.0,0.268,0.732,-0.744
63,Batman-2016/Issue-2,Gotham &amp; Gotham Girl are suspect.... And seeing Hugo Strange( Why is he with A.R.G.U.S)  has me anxious the way he controlled that mans emotion....,dope_relic,8,0,0,-0.15,0.575,0.0,0.077,0.923,-0.25
64,Batman-2016/Issue-2,"bwahahaha, these noob were getting owned by batsy.",vicious1985,6,0,0,0.0,0.0,0.0,0.146,0.854,-0.052
65,Batman-2016/Issue-2,Ha the girls reaction to be brushed off by Bruce,dexter_vex,5,0,0,0.0,0.1,0.211,0.0,0.789,0.34
66,Batman-2016/Issue-2,Must've expecting to get power fucked.,disqus_h1pDVQqybe,1,1,0,-0.6,0.7,0.0,0.468,0.532,-0.66
67,Batman-2016/Issue-2,"""It's not impossible, Kid. It's Batman."" Truest statement ever made.",tonedesh,3,0,0,0.333,1.0,0.244,0.0,0.756,0.44
68,Batman-2016/Issue-2,Hahaha HUGO Strange he's back baby finally where the hell has he been,tevyasmolka,3,0,0,0.038,0.388,0.18,0.32,0.5,-0.421
69,Batman-2016/Issue-2,I think Waller commissioned him to create a system that allows him to control the emotions of people in order to control the large amounts of insane villains in Gotham. That can go wrong in so many ways.,ShadowDurza,4,0,0,-0.196,0.707,0.047,0.23,0.722,-0.844
70,Batman-2016/Issue-2,"He's on Gotham Academy for while, even though he looked like an old man with white beard. Guess DC retconned him.",vicious1985,1,0,0,0.05,0.1,0.111,0.0,0.889,0.361
71,Batman-2016/Issue-2,maybe but who knows i guess we will have to wait and see what happens,tevyasmolka,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
72,Batman-2016/Issue-2,god i love alfred,russ3ll,2,0,0,0.5,0.6,0.863,0.0,0.137,0.743
73,Batman-2016/Issue-2,"...pfft...even with apparent super vision, they didn't see that coming XD",disqus_1E8dDFMldj,2,0,0,0.192,0.508,0.566,0.0,0.434,0.887
74,Batman-2016/Issue-2,It wasn't even super vision... just ultra vision.,Anette_Halbestunde,0,0,0,0.333,0.667,0.179,0.282,0.538,-0.284
75,Batman-2016/Issue-2,Sometimes you can really see Damian is Bruce's son.,mlynn95,1,0,0,0.2,0.2,0.0,0.0,1.0,0.0
76,Batman-2016/Issue-2,gotham girl got legs for days,big_time_spider,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
77,Batman-2016/Issue-2,all the hot girls have nice legs: pg 14 and 16,SniperRuufle,1,0,0,0.425,0.925,0.219,0.0,0.781,0.421
78,Batman-2016/Issue-2,Alfred is such an asshole with his sarcastic ass lmap,akeemdavid,1,0,0,0.05,0.65,0.0,0.407,0.593,-0.67
79,Batman-2016/Issue-2,KOBRAAAAAAAAAAAAAAAAAAAAAAAAAAAA!!!!!!!!!!!!!!!!!!!,disqus_QODrDTDzd1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
80,Batman-2016/Issue-2,GG,Grand_Magus_XV,1,0,0,0.0,0.0,1.0,0.0,0.0,0.296
81,Batman-2016/Issue-2,Bruce did not trust Alfred because he bought a different birthday sword. Hahaha...,disqus_Hyy2XhOU5y,1,1,0,0.1,0.5,0.0,0.197,0.803,-0.402
82,Batman-2016/Issue-2,"One thing that bothers me about Tom King's writing is that the repeating of phrases in dialogue. It's weird. Batman doesn't talk like that!On an unrelated note, I like Gotham Girl's little miniskirt lol. It's cute.",hardcoverlover,0,0,0,0.153,0.8,0.13,0.188,0.682,-0.126
83,Batman-2016/Issue-2,I bet Batman set up some sort of cloaking field on that particular roof top years ago just so he could vanish on super powered beings.,disqus_woNcZVRY3f,0,0,0,0.333,0.5,0.199,0.0,0.801,0.691
84,Batman-2016/Issue-2,Alfred continues to be the best.,disqus_JP9QQDL2ey,0,0,0,1.0,0.3,0.457,0.0,0.543,0.637
85,Batman-2016/Issue-2,"Batman feels very not Batman. To me it seems Batman would find these two highly suspect and dig up anything he can on them, not resigning with a shrug.",disqus_gDeiwO8dyA,0,0,0,0.18,0.42,0.055,0.083,0.862,-0.209
86,Batman-2016/Issue-2,The artist is awesome! I've only read Marvel before this.,disqus_Z7vNZ6SQA2,0,0,0,0.5,1.0,0.473,0.0,0.527,0.802
87,Batman-2016/Issue-2,"Interesting issue, I wonder how could gotham not see batman?Curious too see where this is going",mangamusicfan,0,0,0,0.5,0.5,0.162,0.0,0.838,0.402
88,Batman-2016/Issue-2,in a new 52 batman/superman bruce makes a suit that can't be seen by supes so that,disqus_qUYhPZkdGp,0,0,0,0.136,0.455,0.0,0.0,1.0,0.0
89,Batman-2016/Issue-2,Alfred cracks me up,elnavestmane,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
90,Batman-2016/Issue-2,"Judging by their impeccable timing coinciding with the 'Monster men are coming' incidents, I'm pretty sure the Gothams are going to be connected.On top of that, they're written as almost too good. I sense a 'twist' coming.",disqus_PBWuHp73wM,0,0,0,0.54,0.748,0.242,0.0,0.758,0.837
91,Batman-2016/Issue-2,"Wait a second, is that Psycho-Pirate?",averagejoe1987,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
92,Batman-2016/Issue-2,That's some super-strength right there.,nickolaskruger,0,0,0,0.286,0.536,0.0,0.0,1.0,0.0
93,Batman-2016/Issue-2,"Oh, she used just ultra vision. She should have used hyper vision to see Batman disappear into thin air.I like the dialogues though.And the statue of justice... is that the new Gotham version?No blindfold and balance anymore, but a torchlight and a shield? ^^",Anette_Halbestunde,0,0,0,-0.132,0.652,0.115,0.033,0.853,0.394
94,Batman-2016/Issue-2,Is the statue of justice a thing in the comics? I thought Gotham had their own statue of liberty like in batman forever.,disqus_h1pDVQqybe,0,0,0,0.6,1.0,0.341,0.0,0.659,0.852
95,Batman-2016/Issue-2,"Don't know, I'm less a reader.Last time I saw the statue, before here, was in the Brave and the Bold cartoon. With blindfold and balance.",Anette_Halbestunde,0,0,0,0.322,0.578,0.222,0.0,0.778,0.718
96,Batman-2016/Issue-2,Good to see classic Hugo Strange and Solomon Grundy again.,MiscellaneousSoup,0,0,0,0.272,0.306,0.228,0.142,0.63,0.273
97,Batman-2016/Issue-2,"Ultra Vision?Gotham and Gotham Girl might be from Rimbor or Daxamites, if they aren't Kryptonian ",johnjonzz,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
98,Batman-2016/Issue-3,"""Well, he let us see him leave. That's got to mean something.""Good one! XD",disqus_yHTwkaBHq8,32,0,0,0.281,0.644,0.268,0.067,0.666,0.683
99,Batman-2016/Issue-3,,Guest,24,0,0,0.0,0.0,0.0,0.0,1.0,0.0
100,Batman-2016/Issue-3,"Nah, right now it's a classic, brainwash the new heroes into fighting the old ones scenario.The real problem is going to come from where they got their powers, you don't turn yourself into Supermen without consequences... That will likely get them killed sadly.",knight_ldr,17,0,0,0.024,0.457,0.062,0.261,0.677,-0.863
101,Batman-2016/Issue-3,"They aren't supermen, at best they are scrub green lantern level, albeit that's useful for natural disasters and huge stuff like this.",FearTheSponge,0,0,0,0.32,0.38,0.308,0.21,0.482,0.303
102,Batman-2016/Issue-3,"I hope it's not Gotham girl, she's cute ;)",Jason_Fallen_Son,2,2,0,0.375,1.0,0.609,0.0,0.391,0.778
103,Batman-2016/Issue-3,I know right,disqus_AVP3HVDy86,1,0,0,0.286,0.536,0.0,0.0,1.0,0.0
104,Batman-2016/Issue-3,"I remember psycho pirate from crisis on infinite earth's.  Didn't he get killed by black Adam on infinite crisis ?  Excellent issue , Tom King really nailed the dialogue .  Batman playing undercover was awesome  as well . It's good to see what you did with your fear ",casper4690,16,0,0,0.422,0.539,0.286,0.179,0.535,0.699
105,Batman-2016/Issue-3,"Yeah.I renember,Black Adam POCKED his eyes out!",bonkmonk,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
106,Batman-2016/Issue-3,"Through his mask, all the way to the back of his head, it was glorious!",knight_ldr,6,0,0,0.0,0.0,0.243,0.0,0.757,0.67
107,Batman-2016/Issue-3,Does this Psycho Pirate still remember everything before New 52?,disqus_8A2nfvpI6T,0,0,0,0.136,0.455,0.0,0.0,1.0,0.0
108,Batman-2016/Issue-3,"Eh, I kinda like them. They're growing on me I guess.",loltengu,16,0,0,0.0,0.0,0.358,0.0,0.642,0.442
109,Batman-2016/Issue-3,"GIven that they are the epidime of what the inspiration Batman has given to GOtham, that says a lot XP",disqus_1E8dDFMldj,1,0,0,0.0,0.0,0.284,0.0,0.716,0.774
110,Batman-2016/Issue-3,"What, are you thinkin three-way ?",LITOSWEED,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
111,Batman-2016/Issue-3,I love matches Malone ,brenegan,12,0,0,0.5,0.6,0.677,0.0,0.323,0.637
112,Batman-2016/Issue-3,intereasting story and i have to say Gotham and Gotham girl are very interesting characters in my opinion,tevyasmolka,8,0,0,0.65,0.65,0.158,0.0,0.842,0.458
113,Batman-2016/Issue-3,"I like them. I really hope Hugo Strange doesn't cause permanent damage. It's nice having more adults in the Batman Family, besides just Batman, Batwoman, Batgirl, and Nightwing, y'know?",disqus_QODrDTDzd1,6,0,0,0.312,0.463,0.316,0.059,0.625,0.843
114,Batman-2016/Issue-3,i agree with that because Gotham and Gotham girl are such interesting characters and i really want to see there stories continue at the end of this story,tevyasmolka,0,0,0,0.233,0.4,0.228,0.0,0.772,0.7
115,Batman-2016/Issue-3,"Gotham and Gotham Girl are really growing on me, hope they don't die. :/",attackonmanga,3,0,0,-0.025,0.6,0.502,0.0,0.498,0.843
116,Batman-2016/Issue-3,You freaking jinxed it.,GeneralUzumaki,2,0,0,0.0,0.0,0.0,0.483,0.517,-0.421
117,Batman-2016/Issue-3,You should be more worried about them turning into villains.,manga_mango,0,0,0,0.5,0.5,0.0,0.463,0.537,-0.784
118,Batman-2016/Issue-3,the first half had me bawling hard it was a play off his mom and pa but he was there to say no amazing chapter,jose_andujar,2,0,0,-0.127,0.485,0.223,0.129,0.647,0.599
119,Batman-2016/Issue-3,I really thought the boy's parents were gonna die :(,disqus_QODrDTDzd1,0,0,0,-0.275,0.6,0.0,0.493,0.507,-0.778
120,Batman-2016/Issue-3,"In this issue, Batman kills a man then he disposes of the evidence...",Dr_VonBoogie,3,1,0,0.0,0.0,0.0,0.241,0.759,-0.542
121,Batman-2016/Issue-3,love the silly sibling bickering,jinxxie,1,0,0,0.0,0.738,0.639,0.0,0.361,0.649
122,Batman-2016/Issue-3,The chapters are too short.,Anette_Halbestunde,1,0,0,0.0,0.3,0.0,0.0,1.0,0.0
123,Batman-2016/Issue-3,I kinda like it. Keeps concentration levels peaked.,joaquingl,0,0,0,0.0,0.0,0.269,0.0,0.731,0.297
124,Batman-2016/Issue-3,I still don't trust em,reallyrandomcircle,1,0,0,0.0,0.0,0.0,0.474,0.526,-0.402
125,Batman-2016/Issue-3,"I dig those Gothamites, I hope they stay on after this arc.",johnjonzz,1,0,0,0.0,0.0,0.244,0.0,0.756,0.44
126,Batman-2016/Issue-3,Not Psycho Pirate! NOT HIM,thewisebutnotwise,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
127,Batman-2016/Issue-3,"Yep, Hugo Strange must have gained control of Psycho Pirate, and through him the ability to control the emotions of others. I said it before and I'll say it again, that can go wrong in so many ways.",ShadowDurza,0,0,0,-0.017,0.517,0.161,0.111,0.727,0.296
128,Batman-2016/Issue-3,Batman Rebirth has been doing great! I hope they dont kill the Gotham Brothers they're great characters with potential,lewismweir,1,1,0,0.6,0.833,0.519,0.0,0.481,0.945
129,Batman-2016/Issue-3,siblings*,norm_walker,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
130,Batman-2016/Issue-3,Is being dumb somehow a requirement to get rich in Gotham? Cause I'll never understand why rich families in Gotham walk through allies in the middle of the night! Don't you have cars?!,hardcoverlover,0,0,0,0.094,0.5,0.201,0.082,0.717,0.704
131,Batman-2016/Issue-3,"this batman is less angry. less sharp edges. a little gentler. as gentle as batman can get, anyway. i like it. he's gotten old, and i mean it in a good way.",pendekarsarden,0,0,0,-0.051,0.519,0.281,0.083,0.636,0.73
132,Batman-2016/Issue-3,Naive super kids are going to get ate alive by Gotham.,disqus_gDeiwO8dyA,0,0,0,0.044,0.689,0.392,0.127,0.482,0.66
133,Batman-2016/Issue-3,not gonna lie i didnt read this at first because I thought there names were stupid...my b. second ...hes in his new suit saves the kid and doesnt age much ? and the kid grows up to be gotham? whats his supposed age? stuff like this takes me out of the comic im like ...whuh? oh and that start on comic 4 DAMMM. Gotham girl is new bae,big_time_spider,0,0,0,0.175,0.349,0.088,0.0,0.912,0.715
134,Batman-2016/Issue-3,oh no its hugo strange i know where this is going...,hazerddex,0,0,0,-0.05,0.15,0.0,0.333,0.667,-0.459
135,Batman-2016/Issue-3,Psycho Pirate?!?,nickolaskruger,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
136,Batman-2016/Issue-3,"PSYCHO-PIRATE??!!! I HAVEN'T SEEN HIM SINCE INFINITE CRISIS, when Black Adam pushed his face from head then he came back during Blackest Night. This is really a surprise, I'm loving this. Also pg 14 looks awesome",disqus_XRo3NaL4ZB,0,0,0,0.327,0.517,0.255,0.103,0.642,0.794
137,Batman-2016/Issue-3,Well a version of Psycho Pirate was used during Psi War in Superman by Scott lodbell and he was sick.,brandontravisrodriguez,0,0,0,-0.714,0.857,0.083,0.285,0.632,-0.727
138,Batman-2016/Issue-3,"oh no, Hugo strange is gonna mindfuck them , turn them into villains and then they will fight batman. Please dont kill gotham girl. she is lovely.",wwerr43,0,1,0,0.225,0.45,0.247,0.276,0.477,-0.042
139,Batman-2016/Issue-3,Surprisingly gross opening monologue.,MiscellaneousSoup,0,1,0,0.0,0.0,0.301,0.425,0.274,-0.226
140,Batman-2016/Issue-5,,Guest,50,0,0,0.0,0.0,0.0,0.0,1.0,0.0
141,Batman-2016/Issue-5,Seeing Alfred say I'm Batman was too funny,disqus_XRo3NaL4ZB,34,0,0,0.25,1.0,0.293,0.0,0.707,0.44
142,Batman-2016/Issue-5,"I honestly read that in the whole Bale ""I'm Batman!"" In a super deep voice",disqus_zrzwNctfFj,7,0,0,0.296,0.592,0.395,0.0,0.605,0.802
143,Batman-2016/Issue-5,"I think the ""Death Of Batman"" is just a title. maybe they'll rehash when he was ""dead"". I honestly am not worried about it. this issue was freakin' epic.",nitefreek81,20,0,0,-0.113,0.425,0.154,0.123,0.724,-0.003
144,Batman-2016/Issue-5,probably means the death of batman as an icon in gotham city and batman himself focusing more on being with the justice league. Gotham girl will probably take over his role as the city's protector,BlackFlag02,5,0,0,0.5,0.5,0.084,0.097,0.819,-0.128
145,Batman-2016/Issue-5,ya i dont like that at all,disqus_cfabRssueQ,6,1,0,0.0,0.0,0.0,0.297,0.703,-0.276
146,Batman-2016/Issue-5,wait do batman wont die?,ahalimhamada,0,0,0,0.0,0.0,0.44,0.0,0.56,0.485
147,Batman-2016/Issue-5,the colorist didn't get the memo that superman wears blue boots now.,vicious1985,16,0,0,0.0,0.1,0.0,0.0,1.0,0.0
148,Batman-2016/Issue-5,na he just did not care and i support his choice,axeledongo,4,0,0,0.0,0.0,0.0,0.379,0.621,-0.598
149,Batman-2016/Issue-5,I noticed that too.,sonics1030,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
150,Batman-2016/Issue-5,"Horrible flash backs of Batman RIP, then fond memories of Whatever Happened to the Caped Crusader... I'm in!",knight_ldr,7,0,0,-1.0,1.0,0.127,0.218,0.655,-0.271
151,Batman-2016/Issue-5,"LOL to the people who think batman is going to die =,)",casper4690,6,0,0,0.8,0.7,0.203,0.224,0.574,-0.094
152,Batman-2016/Issue-5,HE JUST GOT HIS MEMORY BACK!,spzenku44,3,0,0,0.0,0.0,0.0,0.0,1.0,0.0
153,Batman-2016/Issue-5,when did he lose his memory &amp; how'd he get it back? plz explain. i am out of the loop here.,prdharmarajan,1,0,0,0.0,0.0,0.059,0.123,0.818,-0.34
154,Batman-2016/Issue-5,"It was a while back when he last fought the Joker.  All I remember is that the last time they fought, Batman and Joker had been cured of their metal traumas by this magic water thus giving them memory loss. Later when a new villain called Bloom was terrorizing Gotham, Bruce had used some device he created that I guess you can say stored his previous memories of being Batman on himself to get his memory back.",spzenku44,3,0,0,0.059,0.219,0.084,0.201,0.715,-0.906
155,Batman-2016/Issue-5,whats the tittle of the comic where he lost his memory?,akeemdavid,0,0,0,0.25,0.5,0.0,0.187,0.813,-0.318
156,Batman-2016/Issue-5,"i think it started after endgame from issue 35-40, from 41 he lost his memories",axeledongo,0,0,0,0.0,0.0,0.0,0.15,0.85,-0.318
157,Batman-2016/Issue-5,"This is BS. So they kill Batman in Endgame, and we have to put up with Gordon as Batman in his place. They finally bring Batman back, and it's all so they can build up to killing him again.Will someone please tell comic writers that you can tell good stories without always planning on killing the main character?",averagejoe1987,2,0,0,0.223,0.487,0.072,0.191,0.736,-0.89
158,Batman-2016/Issue-5,Gordon had bunny ears when he was batman,momentareq,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
